发震时刻,经度,纬度,深度（千米）,参考位置,震级
2022/6/7 9:57,123.53 ,25.58 ,210,台湾东北部海域,5.4
2022/6/3 15:03,126.45 ,26.80 ,10,琉球群岛,5.6
2022/6/1 17:00,102.94 ,30.37 ,17,四川雅安市芦山县,6.1
2022/5/26 15:48,91.89 ,32.25 ,10,西藏那曲市安多县,4.8
2022/5/20 8:36,102.48 ,29.67 ,20,四川雅安市汉源县,4.8
2022/5/9 15:45,122.69 ,23.92 ,15,台湾花莲县海域,4.9
2022/5/9 14:23,122.51 ,24.01 ,16,台湾花莲县海域,6.2
2022/5/7 19:53,126.55 ,27.05 ,20,琉球群岛,5.4
2022/4/19 15:06,123.51 ,25.36 ,200,琉球群岛,5.2
2022/4/18 19:38,121.02 ,21.41 ,30,台湾屏东县海域,4.7
2022/4/15 9:26,97.33 ,38.52 ,10,青海海西州德令哈市,5.4
2022/4/13 9:22,126.45 ,26.80 ,20,琉球群岛西南部,5.5
2022/4/12 3:15,121.07 ,21.45 ,15,台湾屏东县海域,4.8
2022/4/11 21:47,120.97 ,21.62 ,18,台湾屏东县海域,5.1
2022/4/9 3:19,120.93 ,21.63 ,15,台湾屏东县海域,4.8
2022/4/8 7:36,121.00 ,21.67 ,10,台湾屏东县海域,5.3
2022/4/6 7:50,105.03 ,28.22 ,10,四川宜宾市兴文县,5.1
2022/3/26 23:38,126.40 ,26.75 ,20,琉球群岛,5.3
2022/3/26 2:50,97.37 ,38.47 ,10,青海海西州德令哈市,4.9
2022/3/26 0:21,97.33 ,38.50 ,10,青海海西州德令哈市,6
2022/3/24 8:38,121.58 ,23.24 ,24,台湾台东县海域,5.2
2022/3/23 4:29,121.52 ,23.39 ,20,台湾台东县海域,5.7
2022/3/23 3:35,121.60 ,23.44 ,15,台湾花莲县海域,5.2
2022/3/23 2:37,121.55 ,23.43 ,30,台湾台东县海域,4.7
2022/3/23 1:43,121.40 ,23.50 ,20,台湾花莲县,5.7
2022/3/23 1:41,121.55 ,23.45 ,20,台湾台东县海域,6.6
2022/3/22 7:09,122.36 ,23.96 ,17,台湾花莲县海域,4.7
2022/3/19 3:04,123.95 ,25.55 ,165,琉球群岛,5.9
2022/3/17 21:41,77.86 ,36.10 ,10,新疆和田地区皮山县,5.2
2022/3/17 19:33,126.45 ,26.90 ,20,琉球群岛,5.5
2022/3/17 13:06,124.00 ,25.60 ,200,琉球群岛,5.1
2022/3/17 8:26,97.66 ,39.02 ,9,甘肃张掖市肃南县,5.1
2022/3/9 20:22,121.58 ,23.21 ,30,台湾台东县海域,5.1
2022/3/2 8:18,95.87 ,35.74 ,9,青海海西州都兰县,4.8
2022/2/22 4:52,126.55 ,26.95 ,10,琉球群岛,5.6
2022/2/13 12:36,120.86 ,19.22 ,10,菲律宾群岛,5.1
2022/2/12 0:43,122.44 ,24.01 ,10,台湾花莲县海域,5.4
2022/2/9 0:36,126.55 ,26.85 ,10,琉球群岛,5.5
2022/2/7 18:58,122.01 ,24.39 ,34,台湾宜兰县海域,5.1
